Location_ID,Name,Latitude,Longitude,Region
LOC001,Pacific Ocean,-8.7832,-124.5085,Pacific Region
LOC002,Himalayas,27.9881,86.925,Asia
LOC003,Rainforest,16.712031280503297,123.93566948916623,Africa
LOC004,River Nile,62.505312981142566,44.482930842950054,Europe
LOC005,Rainforest,-36.44377082199499,-159.58332816572045,Asia
LOC006,Lake Superior,-4.020278882157029,112.38074235917753,Antarctica
LOC007,Mount Everest,-19.298736701850643,120.98835487345593,North America
LOC008,Sahara Desert,26.67093696921549,-47.433045657402744,Australia
LOC009,Great Barrier Reef,-64.73685952572387,133.2314130090371,Africa
LOC010,Mount Everest,54.16393535633597,7.371892638433735,Africa
LOC011,Great Barrier Reef,39.71387785066503,29.52712514703856,South America
LOC012,Andes Mountains,46.55081237802429,-141.87326141239484,Pacific Region
LOC013,River Nile,-56.460178201183204,85.29054376642495,Asia
LOC014,Lake Superior,-65.66072878701863,-63.30923719444293,Australia
LOC015,Great Barrier Reef,-49.98215011471422,-40.8639667946897,Asia
LOC016,Sahara Desert,-9.009001815979033,40.70284483828766,South America
LOC017,Sahara Desert,-72.1295369353847,169.13126438882955,Antarctica
LOC018,Andes Mountains,-59.23627467551187,-51.06521989097101,North America
LOC019,Great Barrier Reef,19.4095203687842,-62.98299755699311,Europe
LOC020,Rainforest,24.169330432320308,165.22173670482732,Pacific Region
LOC021,Andes Mountains,24.310597248641486,178.30784436403957,Asia
LOC022,Mount Everest,-15.413654119253621,-9.108899176171349,Europe
LOC023,Andes Mountains,-29.15862932899949,62.91083601324746,North America
LOC024,Sahara Desert,50.10218676466363,161.84557924226715,Pacific Region
LOC025,Grand Canyon,-87.55710558982022,44.224594396801024,Asia
LOC026,Lake Superior,84.95010044993984,136.14964968498373,Europe
LOC027,Grand Canyon,-79.97135513371086,-17.582682772465887,Pacific Region
LOC028,Mount Everest,-10.492034175207834,172.65122237258225,Pacific Region
LOC029,Andes Mountains,-3.43916444949069,67.91802581007732,Antarctica
LOC030,River Nile,75.28238394518604,-101.94403045408457,Antarctica
LOC031,River Nile,65.7184610349693,3.228825840125211,Antarctica
LOC032,Sahara Desert,75.80836984269595,-150.07950265298314,Antarctica
LOC033,River Nile,-88.31579312582413,123.24314868038317,North America
LOC034,Mount Everest,61.4495014555238,-84.69714085795813,Antarctica
LOC035,Lake Superior,9.50786637976286,-120.6214343129217,Australia
LOC036,Great Barrier Reef,-63.64048270875979,25.06262613239042,Antarctica
LOC037,Lake Superior,-38.074241331264844,-24.016297686464128,North America
LOC038,River Nile,-18.702310423794785,142.5738195032677,North America
LOC039,Rainforest,70.47979870062187,64.82000500682841,North America
LOC040,Rainforest,86.14276711572907,-138.16731253953802,Antarctica
LOC041,Grand Canyon,-15.872374986327955,63.158069232084955,North America
LOC042,Mount Everest,-33.62070024972883,167.54983938717373,North America
LOC043,Rainforest,28.74031417249431,11.954251409993361,Africa
LOC044,Sahara Desert,-18.92352717895875,42.77108325288856,Africa
LOC045,Sahara Desert,-5.376205933962268,77.78683124231156,Pacific Region
LOC046,Mount Everest,-20.97679949370938,89.70114137498086,North America
LOC047,Great Barrier Reef,-71.48459543518112,-146.74539979407666,Australia
LOC048,Sahara Desert,9.326926643986582,-167.89496634042047,North America
LOC049,Grand Canyon,-32.22049655277045,-100.3454333338382,Africa
LOC050,Lake Superior,-72.4932131286287,174.2552068910927,Antarctica
LOC051,Grand Canyon,6.664053847640332,-18.74657812653723,Africa
LOC052,Mount Everest,-26.58390098390405,-11.070297363512822,Australia
