Satellite_ID,Name,Launch_Date,Status,Operator,Orbit_Type
SAT001,Hubble,4/24/1990,Operational,NASA,Low Earth Orbit
SAT002,James Webb,12/25/2021,Operational,NASA/ESA/CSA,L2 Orbit
SAT003,Galaxy 3,2/20/1996,Standby,JAXA,L2 Orbit
SAT004,Quantum 4,3/6/1989,Standby,Roscosmos,Lunar Orbit
SAT005,Galaxy 5,2/9/2000,Mission Complete,SpaceX,Lunar Orbit
SAT006,Terra 6,12/2/1983,Standby,UKSA,L2 Orbit
SAT007,Voyager 7,11/23/1996,Operational,ISRO,L2 Orbit
SAT008,Galaxy 8,9/16/1998,Operational,Roscosmos,Low Earth Orbit
SAT009,Artemis 9,7/22/1989,Operational,Roscosmos,L2 Orbit
SAT010,Stellar 10,4/22/1982,Mission Complete,NASA,Polar Orbit
SAT011,Quantum 11,5/19/1983,Standby,CSA,Geostationary Orbit
SAT012,Quantum 12,3/20/1982,Standby,Roscosmos,L2 Orbit
SAT013,Quantum 13,9/1/1999,Standby,NASA,Low Earth Orbit
SAT014,Stellar 14,7/23/2010,Experimental,UKSA,Polar Orbit
SAT015,Sentinel 15,1/20/1980,Mission Complete,ISRO,Geostationary Orbit
SAT016,Terra 16,10/13/2010,Standby,ESA,Polar Orbit
SAT017,Pathfinder 17,2/19/1988,Decommissioned,ESA,Sun-Synchronous Orbit
SAT018,Galaxy 18,9/26/2009,Decommissioned,JAXA,Low Earth Orbit
SAT019,Stellar 19,10/11/2007,Decommissioned,CSA,Lunar Orbit
SAT020,Galaxy 20,12/3/1988,Decommissioned,CNSA,Lunar Orbit
SAT021,Lunar 21,2/18/1998,Decommissioned,ESA,Lunar Orbit
SAT022,Stellar 22,7/20/2012,Mission Complete,SpaceX,Sun-Synchronous Orbit
SAT023,Sentinel 23,2/25/1999,Decommissioned,SpaceX,Low Earth Orbit
SAT024,Terra 24,1/12/2019,Decommissioned,ESA,Sun-Synchronous Orbit
SAT025,Pathfinder 25,2/1/2011,Operational,DLR,L2 Orbit
SAT026,Galaxy 26,10/19/2008,Operational,CNSA,Sun-Synchronous Orbit
SAT027,Quantum 27,7/27/2019,Standby,Roscosmos,Low Earth Orbit
SAT028,Voyager 28,4/6/1989,Standby,DLR,Sun-Synchronous Orbit
SAT029,Sentinel 29,9/1/2010,Mission Complete,NASA,Polar Orbit
SAT030,Voyager 30,11/18/2017,Standby,DLR,Sun-Synchronous Orbit
SAT031,Galaxy 31,2/26/2010,Mission Complete,JAXA,L2 Orbit
SAT032,Lunar 32,2/7/1998,Decommissioned,SpaceX,Low Earth Orbit
SAT033,Galaxy 33,3/22/2009,Experimental,SpaceX,Low Earth Orbit
SAT034,Quantum 34,8/28/1992,Operational,UKSA,Lunar Orbit
SAT035,Galaxy 35,11/7/1994,Decommissioned,NASA,Low Earth Orbit
SAT036,Pathfinder 36,2/7/1983,Decommissioned,ISRO,Lunar Orbit
SAT037,Voyager 37,10/25/1998,Decommissioned,ISRO,Lunar Orbit
SAT038,Artemis 38,8/24/1989,Mission Complete,UKSA,Sun-Synchronous Orbit
SAT039,Sentinel 39,2/20/2011,Mission Complete,NASA,Polar Orbit
SAT040,Pathfinder 40,11/6/2018,Operational,SpaceX,L2 Orbit
SAT041,Stellar 41,6/4/2019,Decommissioned,DLR,L2 Orbit
SAT042,Voyager 42,11/14/1987,Experimental,CNSA,Low Earth Orbit
SAT043,Lunar 43,2/22/1987,Experimental,NASA,Geostationary Orbit
SAT044,Quantum 44,8/5/1998,Standby,UKSA,Low Earth Orbit
SAT045,Galaxy 45,2/27/2012,Experimental,CSA,L2 Orbit
SAT046,Orbit 46,4/28/2010,Standby,NASA,L2 Orbit
SAT047,Lunar 47,4/15/2008,Decommissioned,DLR,Lunar Orbit
SAT048,Voyager 48,5/21/1980,Decommissioned,Roscosmos,Polar Orbit
SAT049,Terra 49,9/8/1981,Operational,CSA,L2 Orbit
SAT050,Terra 50,1/13/2003,Standby,CSA,Lunar Orbit
SAT051,Stellar 51,10/17/1984,Standby,JAXA,Sun-Synchronous Orbit
SAT052,Pathfinder 52,2/8/2001,Experimental,Roscosmos,Low Earth Orbit
SAT053,Lunar 53,10/24/1994,Standby,CSA,Sun-Synchronous Orbit
SAT054,Voyager 54,10/25/1991,Experimental,ISRO,Polar Orbit
SAT055,Sentinel 55,6/6/2010,Standby,SpaceX,L2 Orbit
SAT056,Orbit 56,7/2/2000,Mission Complete,SpaceX,Lunar Orbit
SAT057,Terra 57,5/1/2019,Decommissioned,CSA,Low Earth Orbit
